warmup step 517 ; o=-0.002339536789804697
warmup step 518 ; o=-0.002339536789804697
warmup step 519 ; o=-0.00232327776029706
warmup step 520 ; o=-0.00232327776029706
warmup step 521 ; o=-0.00232327776029706
warmup step 522 ; o=-0.002311514923349023
warmup step 523 ; o=-0.0022970130667090416
warmup step 524 ; o=-0.0022985292598605156
warmup step 525 ; o=-0.002318014856427908
warmup step 526 ; o=-0.002279234118759632
warmup step 527 ; o=-0.002301701344549656
warmup step 528 ; o=-0.002301701344549656
warmup step 529 ; o=-0.002333887852728367
warmup step 530 ; o=-0.002333887852728367
warmup step 531 ; o=-0.002333887852728367
warmup step 532 ; o=-0.0023741340264678
warmup step 533 ; o=-0.0024261996150016785
warmup step 534 ; o=-0.0024261996150016785
warmup step 535 ; o=-0.0024261996150016785
warmup step 536 ; o=-0.0024261996150016785
warmup step 537 ; o=-0.0024261996150016785
warmup step 538 ; o=-0.002411580178886652
warmup step 539 ; o=-0.002411580178886652
warmup step 540 ; o=-0.0023745005019009113
warmup step 541 ; o=-0.002375844167545438
warmup step 542 ; o=-0.0023924331180751324
warmup step 543 ; o=-0.0023924331180751324
warmup step 544 ; o=-0.0023918375372886658
warmup step 545 ; o=-0.0023918375372886658
warmup step 546 ; o=-0.0024403135757893324
warmup step 547 ; o=-0.0024319409858435392
warmup step 548 ; o=-0.0024301628582179546
warmup step 549 ; o=-0.0023778220638632774
warmup step 550 ; o=-0.0023778220638632774
warmup step 551 ; o=-0.0023629027418792248
warmup step 552 ; o=-0.0023629027418792248
warmup step 553 ; o=-0.002395492047071457
warmup step 554 ; o=-0.002404967788606882
warmup step 555 ; o=-0.0023952345363795757
warmup step 556 ; o=-0.0023956196382641792
warmup step 557 ; o=-0.002397356554865837
warmup step 558 ; o=-0.002397356554865837
warmup step 559 ; o=-0.002397356554865837
warmup step 560 ; o=-0.0024432213976979256
warmup step 561 ; o=-0.0024716390762478113
warmup step 562 ; o=-0.002478798618540168
warmup step 563 ; o=-0.0024825632572174072
warmup step 564 ; o=-0.0025085851084440947
warmup step 565 ; o=-0.002487553283572197
warmup step 566 ; o=-0.002532964339479804
warmup step 567 ; o=-0.0025565973483026028
warmup step 568 ; o=-0.0025158878415822983
warmup step 569 ; o=-0.0025295389350503683
warmup step 570 ; o=-0.0025295389350503683
warmup step 571 ; o=-0.0024891728535294533
warmup step 572 ; o=-0.0025004856288433075
warmup step 573 ; o=-0.0025004856288433075
warmup step 574 ; o=-0.0025095678865909576
warmup step 575 ; o=-0.0025095678865909576
warmup step 576 ; o=-0.0025095678865909576
warmup step 577 ; o=-0.0025023221969604492
warmup step 578 ; o=-0.0025023221969604492
warmup step 579 ; o=-0.0024576920550316572
warmup step 580 ; o=-0.002488978672772646
warmup step 581 ; o=-0.002422329969704151
warmup step 582 ; o=-0.0024552668910473585
warmup step 583 ; o=-0.002442109864205122
warmup step 584 ; o=-0.002423512050881982
warmup step 585 ; o=-0.002494261832907796
warmup step 586 ; o=-0.002494261832907796
warmup step 587 ; o=-0.0025402584578841925
warmup step 588 ; o=-0.0025402584578841925
warmup step 589 ; o=-0.0025634444318711758
warmup step 590 ; o=-0.0025752512738108635
warmup step 591 ; o=-0.002608964219689369
warmup step 592 ; o=-0.0026311720721423626
warmup step 593 ; o=-0.0026422441005706787
warmup step 594 ; o=-0.0025728691834956408
warmup step 595 ; o=-0.0025728691834956408
warmup step 596 ; o=-0.002600078471004963
warmup step 597 ; o=-0.0026241312734782696
warmup step 598 ; o=-0.0026819787453860044
warmup step 599 ; o=-0.0026659579016268253
warmup step 600 ; o=-0.0026321362238377333
warmup step 601 ; o=-0.0026257166173309088
warmup step 602 ; o=-0.0026173125952482224
warmup step 603 ; o=-0.002630514558404684
warmup step 604 ; o=-0.002630514558404684
warmup step 605 ; o=-0.0026516206562519073
warmup step 606 ; o=-0.0026552011258900166
warmup step 607 ; o=-0.002634053584188223
warmup step 608 ; o=-0.002617101650685072
warmup step 609 ; o=-0.002683411817997694
warmup step 610 ; o=-0.0026643730234354734
warmup step 611 ; o=-0.0026643730234354734
warmup step 612 ; o=-0.0026643730234354734
warmup step 613 ; o=-0.002662048675119877
warmup step 614 ; o=-0.002662048675119877
warmup step 615 ; o=-0.002730270614847541
warmup step 616 ; o=-0.002730270614847541
warmup step 617 ; o=-0.002730270614847541
warmup step 618 ; o=-0.002776153152808547
warmup step 619 ; o=-0.002776153152808547
warmup step 620 ; o=-0.002776153152808547
warmup step 621 ; o=-0.002776153152808547
warmup step 622 ; o=-0.002756648464128375
warmup step 623 ; o=-0.0027499753050506115
warmup step 624 ; o=-0.0027801364194601774
warmup step 625 ; o=-0.002790973521769047
warmup step 626 ; o=-0.0028500964399427176
warmup step 627 ; o=-0.002926328917965293
warmup step 628 ; o=-0.002926328917965293
warmup step 629 ; o=-0.0029245144687592983
warmup step 630 ; o=-0.0029245144687592983
warmup step 631 ; o=-0.0029245144687592983
warmup step 632 ; o=-0.0029485137201845646
warmup step 633 ; o=-0.0029711835086345673
warmup step 634 ; o=-0.0029711835086345673
warmup step 635 ; o=-0.0030257441103458405
warmup step 636 ; o=-0.0030224889051169157
warmup step 637 ; o=-0.0030149156227707863
warmup step 638 ; o=-0.002983411308377981
warmup step 639 ; o=-0.003015408990904689
warmup step 640 ; o=-0.003015408990904689
warmup step 641 ; o=-0.003057373221963644
warmup step 642 ; o=-0.003057373221963644
warmup step 643 ; o=-0.003029109910130501
warmup step 644 ; o=-0.0030528283677995205
warmup step 645 ; o=-0.003049104008823633
warmup step 646 ; o=-0.003015275811776519
warmup step 647 ; o=-0.0030552800744771957
warmup step 648 ; o=-0.003068100195378065
